# Experiment: figure_02_eve_position_map
# Rows are ordered by y first and x second; mesh cols = 11.
# Coordinates and distances are normalized by wavelength.
# One diffuse channel realization is fixed over the full map.
# Position dependence enters through LOS direction and path loss.
grid_row grid_col eve_x_lambda eve_y_lambda eve_z_lambda eve_distance_lambda eve_azimuth_deg eve_elevation_deg vulnerability_qpsk min_entropy_leakage_qpsk vulnerability_16qam min_entropy_leakage_16qam
3 8 12 17 0 20.80865205 54.78240703 0 0.3816773765 0.6104255801 0.1994662578 1.674216623
3 9 16 17 0 23.34523506 46.73570459 0 0.4028591122 0.6883472932 0.2167166529 1.793881922
3 10 20 17 0 26.2488095 40.36453657 0 0.4005296515 0.6799809555 0.201713437 1.690379096
4 0 -20 21 0 29 133.602819 0 0.6105014919 1.288066726 0.2988817748 2.257646832
4 1 -16 21 0 26.40075756 127.3039483 0 0.6507583549 1.380193834 0.3465459477 2.471118554
4 2 -12 21 0 24.18677324 119.7448813 0 0.7816737623 1.644638518 0.412515699 2.72252093
4 3 -8 21 0 22.47220505 110.854458 0 0.948496468 1.923714306 0.509511311 3.027186079
4 4 -4 21 0 21.37755833 100.7842979 0 0.9794982215 1.970114778 0.5882577034 3.234520213
4 5 0 21 0 21 90 0 0.785024277 1.650809175 0.4232237087 2.759492354
4 6 4 21 0 21.37755833 79.21570213 0 0.5563724304 1.154122838 0.2841249582 2.184597472
4 7 8 21 0 22.47220505 69.14554196 0 0.4353558773 0.8002671049 0.2170587389 1.796157412
4 8 12 21 0 24.18677324 60.2551187 0 0.3787217367 0.5992101322 0.1838403486 1.556525344
4 9 16 21 0 26.40075756 52.69605172 0 0.3530963214 0.4981336963 0.1685286956 1.431066167
4 10 20 21 0 29 46.39718103 0 0.3794758216 0.6020798721 0.1866970905 1.57877135
5 0 -20 25 0 32.01562119 128.6598083 0 0.6081758202 1.282560364 0.2930662169 2.229298577
5 1 -16 25 0 29.68164416 122.6192431 0 0.691121789 1.467011869 0.3374965 2.432944446
5 2 -12 25 0 27.73084925 115.6410058 0 0.8354992385 1.740710418 0.3948852176 2.659505267
5 3 -8 25 0 26.2488095 107.7446716 0 0.9426617031 1.914812023 0.4924102506 2.9779327
5 4 -4 25 0 25.3179778 99.09027692 0 0.9442268942 1.917205481 0.4955739111 2.987172145
5 5 0 25 0 25 90 0 0.7642813648 1.612175759 0.3717405384 2.572367928
5 6 4 25 0 25.3179778 80.90972308 0 0.5716172432 1.193121342 0.267639886 2.09836504
5 7 8 25 0 26.2488095 72.25532837 0 0.4512277543 0.8519277134 0.2087446415 1.739811069
5 8 12 25 0 27.73084925 64.35899418 0 0.3877146563 0.6330671776 0.176626205 1.498771309
5 9 16 25 0 29.68164416 57.38075693 0 0.3493027767 0.4825500163 0.1567146852 1.326212282
5 10 20 25 0 32.01562119 51.34019175 0 0.3454963308 0.4667422943 0.156062801 1.320198603
6 0 -20 29 0 35.22782991 124.5922887 0 0.6349170788 1.344640091 0.2855100647 2.191613509
6 1 -16 29 0 33.12099032 118.8865818 0 0.7338914368 1.553638569 0.3241704845 2.374824645
6 2 -12 29 0 31.38470965 112.4794344 0 0.8544280283 1.773030878 0.3798330143 2.603437212
6 3 -8 29 0 30.08321791 105.4221613 0 0.9214815881 1.882027245 0.4530701257 2.857806271
6 4 -4 29 0 29.27456234 97.8533133 0 0.897609865 1.844160437 0.4227682399 2.757938905
6 5 0 29 0 29 90 0 0.7404416409 1.566457937 0.3296489092 2.399002213
6 6 4 29 0 29.27456234 82.1466867 0 0.5775983088 1.208138423 0.2517928302 2.010309108
6 7 8 29 0 30.08321791 74.57783868 0 0.4655045611 0.8968672088 0.2006218028 1.682550306
6 8 12 29 0 31.38470965 67.5205656 0 0.3987198558 0.6734473567 0.1712071015 1.453814449
6 9 16 29 0 33.12099032 61.11341823 0 0.3572247735 0.5149040398 0.152313179 1.285112683
6 10 20 29 0 35.22782991 55.40771131 0 0.3306245225 0.4032656386 0.1400538995 1.164054057
7 0 -20 33 0 38.58756276 121.2184028 0 0.6625463417 1.406093272 0.2757024804 2.141184152
