# Experiment: figure_02_eve_position_map
# Rows are ordered by y first and x second; mesh cols = 41.
# Coordinates and distances are normalized by wavelength.
# One diffuse channel realization is fixed over the full map.
# Position dependence enters through LOS direction and path loss.
grid_row grid_col eve_x_lambda eve_y_lambda eve_z_lambda eve_distance_lambda eve_azimuth_deg eve_elevation_deg vulnerability_qpsk min_entropy_leakage_qpsk vulnerability_16qam min_entropy_leakage_16qam
3 3 -17 8 0 18.78829423 154.7988764 0 0.5607031523 1.165309086 0.3115894072 2.317718094
3 4 -16 8 0 17.88854382 153.4349488 0 0.5764407018 1.205244111 0.3256150252 2.381239178
3 5 -15 8 0 17 151.9275131 0 0.5938469304 1.248163016 0.3412601165 2.44894372
3 6 -14 8 0 16.1245155 150.2551187 0 0.6116538068 1.29078723 0.3591037234 2.522472517
3 7 -13 8 0 15.26433752 148.3924978 0 0.6339998434 1.342554389 0.3795187349 2.602243011
3 8 -12 8 0 14.4222051 146.3099325 0 0.6631248092 1.407352336 0.4048823943 2.695574816
3 9 -11 8 0 13.60147051 143.9726266 0 0.7019371739 1.489413815 0.4349593651 2.798952532
3 10 -10 8 0 12.80624847 141.3401917 0 0.7488278545 1.582706006 0.4670716399 2.901715754
3 11 -9 8 0 12.04159458 138.3664607 0 0.8012631445 1.680348024 0.5074203398 3.021253256
3 12 -8 8 0 11.3137085 135 0 0.8368408702 1.743025218 0.5535084924 3.146677357
3 13 -7 8 0 10.63014581 131.1859252 0 0.8462306235 1.7591228 0.5908743418 3.240923258
3 14 -6 8 0 10 126.8698976 0 0.8408491409 1.749918891 0.6208470735 3.312309854
3 15 -5 8 0 9.433981132 122.0053832 0 0.8843260166 1.822650238 0.6887481253 3.462048392
3 16 -4 8 0 8.94427191 116.5650512 0 0.9911616165 1.987192224 0.7478297191 3.580781711
3 17 -3 8 0 8.544003745 110.5560452 0 0.9999718365 1.999959368 0.8168100624 3.708072544
3 18 -2 8 0 8.246211251 104.0362435 0 0.9999999619 1.999999945 0.9246078713 3.88691355
3 19 -1 8 0 8.062257748 97.12501635 0 0.9998910525 1.999842813 0.8641888572 3.789418534
3 20 0 8 0 8 90 0 0.8658690387 1.792220741 0.6999812768 3.485388238
3 21 1 8 0 8.062257748 82.87498365 0 0.7215059072 1.529083112 0.5569156465 3.155530731
3 22 2 8 0 8.246211251 75.96375653 0 0.6392253452 1.354396517 0.4706023675 2.912580484
3 23 3 8 0 8.544003745 69.44395478 0 0.6135731262 1.295307201 0.4504219357 2.849348994
3 24 4 8 0 8.94427191 63.43494882 0 0.6300751458 1.333595807 0.4372014021 2.806369933
3 25 5 8 0 9.433981132 57.99461679 0 0.6746090223 1.432123518 0.4211767796 2.752497805
3 26 6 8 0 10 53.13010235 0 0.6491869014 1.376705796 0.405622983 2.698211304
3 27 7 8 0 10.63014581 48.81407483 0 0.5978386376 1.257828045 0.3944738825 2.65800169
3 28 8 8 0 11.3137085 45 0 0.6048568916 1.274665748 0.396357178 2.664873009
3 29 9 8 0 12.04159458 41.63353934 0 0.5793145165 1.212418722 0.3571548473 2.514621607
3 30 10 8 0 12.80624847 38.65980825 0 0.5727617217 1.196006984 0.3459656601 2.468700751
3 31 11 8 0 13.60147051 36.02737339 0 0.5794928876 1.212862859 0.3473463359 2.474446784
3 32 12 8 0 14.4222051 33.69006753 0 0.5829053137 1.221333458 0.3442779997 2.461645897
3 33 13 8 0 15.26433752 31.60750225 0 0.5770532409 1.206776338 0.33600476 2.426553576
3 34 14 8 0 16.1245155 29.7448813 0 0.5622587362 1.169306077 0.3251008951 2.378959433
3 35 15 8 0 17 28.07248694 0 0.5420159601 1.116407239 0.3116823484 2.318148358
3 36 16 8 0 17.88854382 26.56505118 0 0.5184947281 1.052401225 0.2966178525 2.246677337
3 37 17 8 0 18.78829423 25.20112365 0 0.495468082 0.9868640273 0.2809274846 2.168269683
3 38 18 8 0 19.6977156 23.96248897 0 0.4741849894 0.9235218994 0.2664519277 2.091947176
3 39 19 8 0 20.61552813 22.83365418 0 0.4555690137 0.8657415282 0.2532786773 2.018797532
3 40 20 8 0 21.54065923 21.80140949 0 0.4411112338 0.8192144073 0.2417783983 1.951757258
4 0 -20 9 0 21.9317122 155.7722547 0 0.5254120586 1.071521217 0.2788654309 2.157641009
4 1 -19 9 0 21.02379604 154.6538241 0 0.5375315121 1.104421238 0.2892293816 2.210286022
4 2 -18 9 0 20.1246118 153.4349488 0 0.5506616745 1.139238107 0.3008340761 2.267039899
4 3 -17 9 0 19.23538406 152.102729 0 0.5649805829 1.176273191 0.3135574326 2.326801623
4 4 -16 9 0 18.35755975 150.6422465 0 0.5809341319 1.216446501 0.3280557697 2.392013
4 5 -15 9 0 17.49285568 149.0362435 0 0.5992539232 1.261239354 0.3442818331 2.46166196
4 6 -14 9 0 16.64331698 147.2647737 0 0.6213094492 1.313383901 0.3632399509 2.538994791
4 7 -13 9 0 15.8113883 145.3048465 0 0.6505312247 1.379690211 0.3853723702 2.624325044
4 8 -12 9 0 15 143.1301024 0 0.686799061 1.457959972 0.410907929 2.716887074
4 9 -11 9 0 14.2126704 140.7105931 0 0.7297975656 1.545568244 0.4390390953 2.812421319
4 10 -10 9 0 13.45362405 138.0127875 0 0.7754725824 1.633147679 0.4738506243 2.922504244
4 11 -9 9 0 12.72792206 135 0 0.8076477849 1.691798176 0.5128865545 3.036711656
4 12 -8 9 0 12.04159458 131.6335393 0 0.8202971998 1.714218609 0.5485043995 3.133575098
4 13 -7 9 0 11.40175425 127.8749837 0 0.8223141767 1.717761606 0.5750973832 3.201878178
4 14 -6 9 0 10.81665383 123.6900675 0 0.8351206958 1.740056623 0.6261555538 3.324593011
